year,city,lisbon_avg_temp,global_avg_temp
1753,Lisbon,15.52,8.39
1754,Lisbon,15.63,8.47
1755,Lisbon,15.33,8.36
1756,Lisbon,15.68,8.85
1757,Lisbon,15.56,9.02
1758,Lisbon,14.18,6.74
1759,Lisbon,15.28,7.99
1760,Lisbon,14.72,7.19
1761,Lisbon,15.59,8.77
1762,Lisbon,15.55,8.61
1763,Lisbon,14.74,7.50
1764,Lisbon,15.54,8.40
1765,Lisbon,15.59,8.25
1766,Lisbon,15.48,8.41
1767,Lisbon,15.63,8.22
1768,Lisbon,14.72,6.78
1769,Lisbon,15.31,7.69
1770,Lisbon,15.16,7.69
1771,Lisbon,15.64,7.85
1772,Lisbon,16.08,8.19
1773,Lisbon,15.27,8.22
1774,Lisbon,15.99,8.77
1775,Lisbon,16.08,9.18
1776,Lisbon,15.52,8.30
1777,Lisbon,15.37,8.26
1778,Lisbon,15.63,8.54
1779,Lisbon,15.78,8.98
1780,Lisbon,16.38,9.43
1781,Lisbon,15.74,8.10
1782,Lisbon,14.95,7.90
1783,Lisbon,15.26,7.68
1784,Lisbon,15.30,7.86
1785,Lisbon,15.01,7.36
1786,Lisbon,15.49,8.26
1787,Lisbon,15.55,8.03
1788,Lisbon,16.04,8.45
1789,Lisbon,14.82,8.33
1790,Lisbon,15.54,7.98
1791,Lisbon,15.60,8.23
1792,Lisbon,15.62,8.09
1793,Lisbon,15.65,8.23
1794,Lisbon,15.41,8.53
1795,Lisbon,15.73,8.35
1796,Lisbon,15.44,8.27
1797,Lisbon,15.22,8.51
1798,Lisbon,15.65,8.67
1799,Lisbon,15.28,8.51
1800,Lisbon,16.04,8.48
1801,Lisbon,15.80,8.59
1802,Lisbon,15.94,8.58
1803,Lisbon,15.70,8.50
1804,Lisbon,16.15,8.84
1805,Lisbon,15.44,8.56
1806,Lisbon,15.73,8.43
1807,Lisbon,15.15,8.28
1808,Lisbon,14.64,7.63
1809,Lisbon,14.58,7.08
1810,Lisbon,14.21,6.92
1811,Lisbon,14.48,6.86
1812,Lisbon,14.52,7.05
1813,Lisbon,14.72,7.74
1814,Lisbon,14.45,7.59
1815,Lisbon,14.82,7.24
1816,Lisbon,14.33,6.94
1817,Lisbon,15.44,6.98
1818,Lisbon,15.71,7.83
1819,Lisbon,14.93,7.37
1820,Lisbon,14.79,7.62
1821,Lisbon,15.75,8.09
1822,Lisbon,15.44,8.19
1823,Lisbon,15.20,7.72
1824,Lisbon,15.57,8.55
1825,Lisbon,15.58,8.39
1826,Lisbon,15.43,8.36
1827,Lisbon,15.37,8.81
1828,Lisbon,15.54,8.17
1829,Lisbon,14.98,7.94
1830,Lisbon,15.44,8.52
1831,Lisbon,15.66,7.64
1832,Lisbon,15.07,7.45
1833,Lisbon,15.10,8.01
1834,Lisbon,16.04,8.15
1835,Lisbon,15.05,7.39
1836,Lisbon,15.25,7.70
1837,Lisbon,15.28,7.38
1838,Lisbon,15.31,7.51
1839,Lisbon,15.12,7.63
1840,Lisbon,15.06,7.80
1841,Lisbon,15.21,7.69
1842,Lisbon,15.31,8.02
1843,Lisbon,15.49,8.17
1844,Lisbon,15.21,7.65
1845,Lisbon,14.85,7.85
